fecha,estacion,comuna,zona_geografica,tipo_estacion,mp2_5_mean,mp2_5_max,mp10_mean,mp10_max,o3_mean,o3_max,temperatura_mean,humedad_mean,presion_mean,viento_mean,direccion_viento,radiacion_mean,isoterma_0_mean,precipitacion_sum,precipitacion_max,prop_inversion,dia_semana,es_finde,es_festivo,periodo_gec,tipo_dia,estacion_anio,temporada_critica,nivel_socioeconomico,calidad_aire_mp25,calidad_aire_mp10,nivel_contaminacion,estaciones_en_episodio,critico_mp25_dia,critico_mp10_dia,mala_calidad_mp25
2022-01-02,Las Condes,Las Condes,Oriente,Urbana de fondo,9.61,32.5,24.36,60.4,36.78,102.1,21.91,58.25,1017.22,2.17,225.65,424.46,4020.92,0.0,0.0,0.33,6,1,0,0,Fin de semana,Verano,Resto del año,Q5 (alto),Bueno,Bueno,Bajo,0,0,0,0
2022-01-02,Providencia,Providencia,Oriente,Urbana de tráfico,9.25,31.6,24.54,61.7,33.15,96.2,21.9,57.29,1017.04,2.27,225.39,428.09,4037.0,0.0,0.0,0.29,6,1,0,0,Fin de semana,Verano,Resto del año,Q5 (alto),Bueno,Bueno,Bajo,0,0,0,0
2022-01-02,Pudahuel,Pudahuel,Poniente,Suburbana,19.97,50.3,43.87,87.2,40.26,103.4,21.83,54.67,1016.83,2.33,236.36,419.17,4081.33,5.4,5.4,0.25,6,1,0,0,Fin de semana,Verano,Resto del año,Q2 (medio-bajo),Bueno,Bueno,Bajo,0,0,0,0
2022-01-02,Puente Alto,Puente Alto,Sur,Suburbana,18.05,43.6,40.28,89.7,38.28,116.3,22.19,54.02,1016.88,2.7,205.46,426.75,4028.46,0.0,0.0,0.29,6,1,0,0,Fin de semana,Verano,Resto del año,Q3 (medio),Bueno,Bueno,Bajo,0,0,0,0
2022-01-02,Quilicura,Quilicura,Norte,Urbana de tráfico,18.86,44.1,40.72,91.3,37.2,97.0,21.7,57.31,1016.52,2.35,237.77,392.61,3941.67,2.0,2.0,0.25,6,1,0,0,Fin de semana,Verano,Resto del año,Q4 (medio-alto),Bueno,Bueno,Bajo,0,0,0,0
2022-01-02,Talagante,Talagante,Poniente,Suburbana,16.96,45.9,37.17,80.8,39.07,114.6,21.78,54.61,1017.53,2.34,221.46,384.43,3975.58,0.0,0.0,0.38,6,1,0,0,Fin de semana,Verano,Resto del año,Q3 (medio),Bueno,Bueno,Bajo,0,0,0,0
2022-01-03,Cerrillos,Cerrillos,Poniente,Urbana de tráfico,16.97,39.7,38.81,71.2,40.16,98.3,21.64,57.4,1018.23,2.96,222.93,430.12,3994.96,0.0,0.0,0.21,0,0,0,0,Laboral,Verano,Resto del año,Q2 (medio-bajo),Bueno,Bueno,Bajo,0,0,0,0
2022-01-03,Cerro Navia,Cerro Navia,Poniente,Urbana de fondo,23.89,65.2,50.12,116.0,39.53,122.0,21.63,56.82,1017.72,2.58,228.41,419.42,3999.96,0.0,0.0,0.25,0,0,0,0,Laboral,Verano,Resto del año,Q1 (bajo),Bueno,Bueno,Bajo,0,0,0,0
2022-01-03,El Bosque,El Bosque,Sur,Urbana de fondo,25.42,51.3,51.07,95.8,39.47,107.0,21.84,57.19,1016.09,2.17,226.8,418.08,4073.96,0.0,0.0,0.25,0,0,0,0,Laboral,Verano,Resto del año,Q1 (bajo),Bueno,Bueno,Medio,0,0,0,0
2022-01-03,Independencia,Independencia,Centro,Urbana de tráfico,24.02,57.5,49.83,109.8,39.74,100.8,21.68,57.25,1017.13,2.3,225.37,422.0,4060.5,0.0,0.0,0.33,0,0,0,0,Laboral,Verano,Resto del año,Q4 (medio-alto),Bueno,Bueno,Bajo,0,0,0,0
2022-01-03,La Florida,La Florida,Sur,Urbana de fondo,20.12,51.8,44.89,98.3,41.49,105.1,22.02,59.15,1017.38,2.57,225.14,441.35,4146.88,0.0,0.0,0.29,0,0,0,0,Laboral,Verano,Resto del año,Q4 (medio-alto),Bueno,Bueno,Bajo,0,0,0,0
2022-01-03,Las Condes,Las Condes,Oriente,Urbana de fondo,8.0,21.6,23.48,42.1,37.43,100.7,22.17,55.07,1016.59,2.75,213.45,413.04,4084.04,0.0,0.0,0.17,0,0,0,0,Laboral,Verano,Resto del año,Q5 (alto),Bueno,Bueno,Bajo,0,0,0,0
2022-01-03,Providencia,Providencia,Oriente,Urbana de tráfico,14.08,37.3,33.47,76.3,41.37,111.1,22.05,56.98,1017.01,2.6,222.51,431.5,4049.04,0.0,0.0,0.29,0,0,0,0,Laboral,Verano,Resto del año,Q5 (alto),Bueno,Bueno,Bajo,0,0,0,0
2022-01-03,Pudahuel,Pudahuel,Poniente,Suburbana,28.45,62.7,56.13,119.1,38.06,102.8,21.84,59.08,1017.0,1.93,234.56,435.17,4045.54,0.0,0.0,0.25,0,0,0,0,Laboral,Verano,Resto del año,Q2 (medio-bajo),Bueno,Bueno,Medio,0,0,0,0
2022-01-03,Puente Alto,Puente Alto,Sur,Suburbana,20.47,50.1,45.8,98.9,39.83,111.6,22.13,57.69,1016.37,2.8,236.06,418.04,3967.04,0.0,0.0,0.25,0,0,0,0,Laboral,Verano,Resto del año,Q3 (medio),Bueno,Bueno,Bajo,0,0,0,0
2022-01-03,Quilicura,Quilicura,Norte,Urbana de tráfico,20.46,43.2,44.63,77.0,39.6,105.8,21.31,57.19,1017.71,3.11,219.47,420.21,3951.62,0.0,0.0,0.33,0,0,0,0,Laboral,Verano,Resto del año,Q4 (medio-alto),Bueno,Bueno,Bajo,0,0,0,0
2022-01-03,Talagante,Talagante,Poniente,Suburbana,16.15,44.2,37.69,84.3,39.65,108.0,22.05,56.59,1017.21,2.78,218.32,420.62,3977.5,0.0,0.0,0.21,0,0,0,0,Laboral,Verano,Resto del año,Q3 (medio),Bueno,Bueno,Bajo,0,0,0,0
2022-01-04,Cerrillos,Cerrillos,Poniente,Urbana de tráfico,20.09,55.6,44.22,103.3,37.91,105.6,21.8,57.67,1017.47,2.78,230.7,428.17,4021.33,0.0,0.0,0.25,1,0,0,0,Laboral,Verano,Resto del año,Q2 (medio-bajo),Bueno,Bueno,Bajo,0,0,0,0
2022-01-04,Cerro Navia,Cerro Navia,Poniente,Urbana de fondo,28.65,57.8,57.52,105.5,38.18,101.7,22.0,56.51,1017.01,2.07,212.81,419.17,3952.5,0.0,0.0,0.21,1,0,0,0,Laboral,Verano,Resto del año,Q1 (bajo),Bueno,Bueno,Medio,0,0,0,0
2022-01-04,El Bosque,El Bosque,Sur,Urbana de fondo,26.67,53.7,54.73,88.1,35.82,103.1,22.01,58.27,1017.03,2.79,237.03,385.22,4015.29,0.0,0.0,0.33,1,0,0,0,Laboral,Verano,Resto del año,Q1 (bajo),Bueno,Bueno,Medio,0,0,0,0
2022-01-04,Independencia,Independencia,Centro,Urbana de tráfico,22.13,50.7,45.2,91.1,39.03,119.7,22.22,56.25,1017.23,2.42,235.85,428.75,4086.67,0.0,0.0,0.33,1,0,0,0,Laboral,Verano,Resto del año,Q4 (medio-alto),Bueno,Bueno,Bajo,0,0,0,0
2022-01-04,La Florida,La Florida,Sur,Urbana de fondo,19.6,45.9,43.02,88.9,36.81,111.7,21.76,57.06,1016.01,2.65,225.27,427.96,4041.96,0.0,0.0,0.25,1,0,0,0,Laboral,Verano,Resto del año,Q4 (medio-alto),Bueno,Bueno,Bajo,0,0,0,0
2022-01-04,Las Condes,Las Condes,Oriente,Urbana de fondo,10.17,32.3,26.97,65.2,38.02,97.0,21.75,57.24,1017.06,2.68,225.0,409.48,4032.0,0.0,0.0,0.25,1,0,0,0,Laboral,Verano,Resto del año,Q5 (alto),Bueno,Bueno,Bajo,0,0,0,0
2022-01-04,Providencia,Providencia,Oriente,Urbana de tráfico,10.92,39.2,27.36,70.3,38.63,107.4,22.15,56.93,1018.57,2.49,230.73,423.5,4159.12,0.0,0.0,0.29,1,0,0,0,Laboral,Verano,Resto del año,Q5 (alto),Bueno,Bueno,Bajo,0,0,0,0
2022-01-04,Pudahuel,Pudahuel,Poniente,Suburbana,27.55,60.7,55.4,105.4,40.59,106.0,22.22,56.48,1017.09,2.1,211.13,424.71,4072.12,0.0,0.0,0.38,1,0,0,0,Laboral,Verano,Resto del año,Q2 (medio-bajo),Bueno,Bueno,Medio,0,0,0,0
2022-01-04,Puente Alto,Puente Alto,Sur,Suburbana,21.91,43.9,46.66,86.9,41.38,103.5,22.04,54.18,1016.61,2.43,221.48,439.26,3912.42,0.0,0.0,0.25,1,0,0,0,Laboral,Verano,Resto del año,Q3 (medio),Bueno,Bueno,Bajo,0,0,0,0
2022-01-04,Quilicura,Quilicura,Norte,Urbana de tráfico,20.03,52.4,43.14,91.3,40.82,100.8,22.18,55.9,1016.0,2.75,229.9,403.13,4091.29,0.0,0.0,0.29,1,0,0,0,Laboral,Verano,Resto del año,Q4 (medio-alto),Bueno,Bueno,Bajo,0,0,0,0
2022-01-04,Talagante,Talagante,Poniente,Suburbana,16.4,45.0,37.63,74.3,39.12,112.3,20.68,58.71,1017.49,2.62,216.24,421.62,3939.92,0.0,0.0,0.33,1,0,0,0,Laboral,Verano,Resto del año,Q3 (medio),Bueno,Bueno,Bajo,0,0,0,0
2022-01-05,Cerrillos,Cerrillos,Poniente,Urbana de tráfico,19.33,42.1,44.11,82.1,40.59,107.8,21.34,57.81,1016.13,3.23,225.55,416.12,3983.04,0.0,0.0,0.5,2,0,0,0,Laboral,Verano,Resto del año,Q2 (medio-bajo),Bueno,Bueno,Bajo,0,0,0,0
2022-01-05,Cerro Navia,Cerro Navia,Poniente,Urbana de fondo,27.87,46.9,57.77,93.9,39.88,113.2,21.71,57.12,1017.26,2.28,232.89,429.83,3971.17,0.0,0.0,0.29,2,0,0,0,Laboral,Verano,Resto del año,Q1 (bajo),Bueno,Bueno,Medio,0,0,0,0
2022-01-05,El Bosque,El Bosque,Sur,Urbana de fondo,28.93,64.7,58.27,107.1,41.2,99.3,21.91,54.99,1016.15,2.22,225.08,428.62,4047.12,0.0,0.0,0.38,2,0,0,0,Laboral,Verano,Resto del año,Q1 (bajo),Bueno,Bueno,Medio,0,0,0,0
2022-01-05,Independencia,Independencia,Centro,Urbana de tráfico,18.87,43.7,41.55,74.2,41.34,100.1,21.9,57.64,1016.52,2.71,228.1,420.04,4086.92,0.0,0.0,0.33,2,0,0,0,Laboral,Verano,Resto del año,Q4 (medio-alto),Bueno,Bueno,Bajo,0,0,0,0
2022-01-05,La Florida,La Florida,Sur,Urbana de fondo,19.25,50.9,42.28,96.1,39.1,103.8,21.2,56.64,1017.42,2.42,233.02,452.91,3887.54,0.0,0.0,0.38,2,0,0,0,Laboral,Verano,Resto del año,Q4 (medio-alto),Bueno,Bueno,Bajo,0,0,0,0
2022-01-05,Las Condes,Las Condes,Oriente,Urbana de fondo,8.17,42.3,23.84,86.8,38.58,98.9,21.99,57.2,1016.15,2.99,227.28,438.17,3987.79,0.0,0.0,0.29,2,0,0,0,Laboral,Verano,Resto del año,Q5 (alto),Bueno,Bueno,Bajo,0,0,0,0
2022-01-05,Providencia,Providencia,Oriente,Urbana de tráfico,10.1,28.9,25.68,52.8,37.63,108.3,21.63,54.87,1016.29,2.18,223.25,422.5,3977.42,0.0,0.0,0.17,2,0,0,0,Laboral,Verano,Resto del año,Q5 (alto),Bueno,Bueno,Bajo,0,0,0,0
2022-01-05,Pudahuel,Pudahuel,Poniente,Suburbana,26.78,52.3,56.37,96.6,37.42,115.6,21.4,55.88,1018.04,2.52,238.16,391.65,3905.5,0.0,0.0,0.46,2,0,0,0,Laboral,Verano,Resto del año,Q2 (medio-bajo),Bueno,Bueno,Medio,0,0,0,0
2022-01-05,Puente Alto,Puente Alto,Sur,Suburbana,18.8,45.9,42.18,91.9,39.39,106.6,22.58,56.19,1016.57,2.6,232.13,420.88,4094.54,0.0,0.0,0.25,2,0,0,0,Laboral,Verano,Resto del año,Q3 (medio),Bueno,Bueno,Bajo,0,0,0,0
2022-01-05,Quilicura,Quilicura,Norte,Urbana de tráfico,25.3,50.3,52.39,94.8,39.62,112.5,22.35,56.32,1016.92,2.54,236.04,418.62,4071.96,0.0,0.0,0.54,2,0,0,0,Laboral,Verano,Resto del año,Q4 (medio-alto),Bueno,Bueno,Medio,0,0,0,0
2022-01-05,Talagante,Talagante,Poniente,Suburbana,15.11,45.4,34.82,87.8,40.69,101.6,21.92,56.52,1017.59,3.2,229.44,421.62,3934.75,0.0,0.0,0.25,2,0,0,0,Laboral,Verano,Resto del año,Q3 (medio),Bueno,Bueno,Bajo,0,0,0,0
2022-01-06,Cerrillos,Cerrillos,Poniente,Urbana de tráfico,23.88,53.8,49.96,97.1,40.85,107.1,21.41,58.28,1018.38,2.24,217.99,427.0,3939.33,0.0,0.0,0.38,3,0,0,0,Laboral,Verano,Resto del año,Q2 (medio-bajo),Bueno,Bueno,Bajo,0,0,0,0
2022-01-06,Cerro Navia,Cerro Navia,Poniente,Urbana de fondo,26.1,60.0,53.42,111.3,40.49,121.2,21.47,57.88,1017.69,2.35,222.91,415.92,4009.54,0.0,0.0,0.29,3,0,0,0,Laboral,Verano,Resto del año,Q1 (bajo),Bueno,Bueno,Medio,0,0,0,0
2022-01-06,El Bosque,El Bosque,Sur,Urbana de fondo,27.95,51.2,55.97,101.1,34.95,106.3,22.39,57.41,1017.12,2.4,227.83,383.87,4053.25,0.0,0.0,0.46,3,0,0,0,Laboral,Verano,Resto del año,Q1 (bajo),Bueno,Bueno,Medio,0,0,0,0
2022-01-06,Independencia,Independencia,Centro,Urbana de tráfico,20.2,64.2,43.32,125.7,38.01,105.5,21.82,59.09,1017.62,2.48,224.59,412.21,4044.21,0.0,0.0,0.33,3,0,0,0,Laboral,Verano,Resto del año,Q4 (medio-alto),Bueno,Bueno,Bajo,0,0,0,0
2022-01-06,La Florida,La Florida,Sur,Urbana de fondo,21.6,48.4,45.06,83.3,38.4,105.9,22.16,55.31,1017.07,2.39,223.42,415.42,4073.5,0.0,0.0,0.29,3,0,0,0,Laboral,Verano,Resto del año,Q4 (medio-alto),Bueno,Bueno,Bajo,0,0,0,0
2022-01-06,Las Condes,Las Condes,Oriente,Urbana de fondo,12.39,38.1,30.3,70.4,39.8,108.6,21.78,55.42,1018.54,2.66,228.28,460.36,3941.46,0.0,0.0,0.62,3,0,0,0,Laboral,Verano,Resto del año,Q5 (alto),Bueno,Bueno,Bajo,0,0,0,0
2022-01-06,Providencia,Providencia,Oriente,Urbana de tráfico,14.2,44.3,34.11,76.8,39.8,108.8,22.45,52.94,1017.07,2.67,208.88,421.04,4055.88,0.0,0.0,0.42,3,0,0,0,Laboral,Verano,Resto del año,Q5 (alto),Bueno,Bueno,Bajo,0,0,0,0
2022-01-06,Pudahuel,Pudahuel,Poniente,Suburbana,27.97,56.2,53.88,95.7,40.82,106.4,22.31,55.56,1016.46,2.0,231.04,413.04,4177.5,0.0,0.0,0.29,3,0,0,0,Laboral,Verano,Resto del año,Q2 (medio-bajo),Bueno,Bueno,Medio,0,0,0,0
2022-01-06,Puente Alto,Puente Alto,Sur,Suburbana,24.15,57.6,50.31,108.2,34.91,99.4,21.49,56.2,1017.13,2.22,230.69,445.91,3917.88,0.0,0.0,0.38,3,0,0,0,Laboral,Verano,Resto del año,Q3 (medio),Bueno,Bueno,Bajo,0,0,0,0
2022-01-06,Quilicura,Quilicura,Norte,Urbana de tráfico,23.48,57.8,48.67,100.2,36.93,97.3,22.21,55.7,1019.02,2.22,232.67,414.71,4057.08,0.0,0.0,0.21,3,0,0,0,Laboral,Verano,Resto del año,Q4 (medio-alto),Bueno,Bueno,Bajo,0,0,0,0
2022-01-06,Talagante,Talagante,Poniente,Suburbana,19.44,51.9,41.33,94.4,39.51,116.3,22.02,57.14,1017.21,2.72,224.3,430.29,4041.71,0.0,0.0,0.25,3,0,0,0,Laboral,Verano,Resto del año,Q3 (medio),Bueno,Bueno,Bajo,0,0,0,0
2022-01-07,Cerrillos,Cerrillos,Poniente,Urbana de tráfico,20.89,47.7,51.07,122.5,38.39,115.3,21.86,57.05,1017.48,2.43,230.49,406.57,3999.17,0.0,0.0,0.38,4,0,0,0,Laboral,Verano,Resto del año,Q2 (medio-bajo),Bueno,Bueno,Bajo,0,0,0,0
2022-01-07,Cerro Navia,Cerro Navia,Poniente,Urbana de fondo,27.36,59.0,56.55,108.3,36.9,113.5,22.15,57.95,1017.7,2.63,222.79,388.3,4123.96,0.0,0.0,0.38,4,0,0,0,Laboral,Verano,Resto del año,Q1 (bajo),Bueno,Bueno,Medio,0,0,0,0
2022-01-07,El Bosque,El Bosque,Sur,Urbana de fondo,30.94,55.3,61.5,107.6,36.08,104.1,22.11,55.75,1017.4,2.05,240.64,376.96,4018.92,0.0,0.0,0.38,4,0,0,0,Laboral,Verano,Resto del año,Q1 (bajo),Bueno,Bueno,Medio,0,0,0,0
2022-01-07,Independencia,Independencia,Centro,Urbana de tráfico,21.54,55.9,44.94,110.1,39.78,100.3,21.31,58.41,1016.25,2.35,218.33,416.58,3935.21,0.0,0.0,0.46,4,0,0,0,Laboral,Verano,Resto del año,Q4 (medio-alto),Bueno,Bueno,Bajo,0,0,0,0
2022-01-07,La Florida,La Florida,Sur,Urbana de fondo,18.11,53.2,40.51,91.1,37.72,110.7,21.87,57.45,1016.62,2.64,224.77,413.58,4084.46,0.0,0.0,0.33,4,0,0,0,Laboral,Verano,Resto del año,Q4 (medio-alto),Bueno,Bueno,Bajo,0,0,0,0
2022-01-07,Las Condes,Las Condes,Oriente,Urbana de fondo,10.11,35.0,27.44,71.9,40.1,109.5,21.89,55.84,1016.16,2.75,216.22,413.96,3955.04,0.0,0.0,0.25,4,0,0,0,Laboral,Verano,Resto del año,Q5 (alto),Bueno,Bueno,Bajo,0,0,0,0
2022-01-07,Providencia,Providencia,Oriente,Urbana de tráfico,10.6,32.8,30.45,74.1,36.6,109.8,21.68,55.64,1016.91,2.57,227.6,409.87,3873.17,0.0,0.0,0.33,4,0,0,0,Laboral,Verano,Resto del año,Q5 (alto),Bueno,Bueno,Bajo,0,0,0,0
2022-01-07,Pudahuel,Pudahuel,Poniente,Suburbana,22.32,48.8,46.86,81.3,37.54,106.8,22.19,54.4,1017.08,2.85,220.09,417.79,4010.46,0.0,0.0,0.29,4,0,0,0,Laboral,Verano,Resto del año,Q2 (medio-bajo),Bueno,Bueno,Bajo,0,0,0,0
2022-01-07,Puente Alto,Puente Alto,Sur,Suburbana,21.53,57.6,47.8,102.6,39.72,106.4,21.85,58.37,1016.18,2.47,225.0,435.48,3963.17,0.0,0.0,0.17,4,0,0,0,Laboral,Verano,Resto del año,Q3 (medio),Bueno,Bueno,Bajo,0,0,0,0
2022-01-07,Quilicura,Quilicura,Norte,Urbana de tráfico,23.94,53.4,49.53,90.1,35.07,106.3,22.53,54.74,1017.73,2.35,223.24,421.96,4124.79,0.0,0.0,0.33,4,0,0,0,Laboral,Verano,Resto del año,Q4 (medio-alto),Bueno,Bueno,Bajo,0,0,0,0
2022-01-07,Talagante,Talagante,Poniente,Suburbana,22.35,57.5,47.35,103.1,35.24,98.9,23.3,54.9,1017.2,1.93,220.18,416.38,4204.0,0.0,0.0,0.33,4,0,0,0,Laboral,Verano,Resto del año,Q3 (medio),Bueno,Bueno,Bajo,0,0,0,0
2022-01-08,Cerrillos,Cerrillos,Poniente,Urbana de tráfico,18.48,43.3,41.12,77.6,41.47,111.5,21.01,57.3,1016.81,2.63,232.93,418.12,4016.67,0.0,0.0,0.29,5,1,0,0,Fin de semana,Verano,Resto del año,Q2 (medio-bajo),Bueno,Bueno,Bajo,0,0,0,0
2022-01-08,Cerro Navia,Cerro Navia,Poniente,Urbana de fondo,25.04,52.0,50.21,92.8,38.16,113.8,21.23,54.21,1017.57,2.22,227.68,419.08,3961.08,0.0,0.0,0.42,5,1,0,0,Fin de semana,Verano,Resto del año,Q1 (bajo),Bueno,Bueno,Medio,0,0,0,0
2022-01-08,El Bosque,El Bosque,Sur,Urbana de fondo,21.2,41.1,45.34,74.8,35.99,99.4,21.42,57.85,1016.56,2.57,227.67,403.65,3988.71,0.0,0.0,0.33,5,1,0,0,Fin de semana,Verano,Resto del año,Q1 (bajo),Bueno,Bueno,Bajo,0,0,0,0
2022-01-08,Independencia,Independencia,Centro,Urbana de tráfico,16.42,34.0,36.95,64.9,37.54,92.1,22.16,56.09,1017.46,2.59,217.33,414.88,4037.5,0.0,0.0,0.33,5,1,0,0,Fin de semana,Verano,Resto del año,Q4 (medio-alto),Bueno,Bueno,Bajo,0,0,0,0
2022-01-08,La Florida,La Florida,Sur,Urbana de fondo,15.78,33.0,35.96,63.2,38.7,119.6,21.95,55.83,1017.31,2.65,238.1,418.5,3959.54,0.0,0.0,0.38,5,1,0,0,Fin de semana,Verano,Resto del año,Q4 (medio-alto),Bueno,Bueno,Bajo,0,0,0,0
2022-01-08,Las Condes,Las Condes,Oriente,Urbana de fondo,11.35,41.9,28.02,69.4,42.35,103.5,22.52,57.35,1016.72,2.88,217.69,413.46,4053.67,0.0,0.0,0.5,5,1,0,0,Fin de semana,Verano,Resto del año,Q5 (alto),Bueno,Bueno,Bajo,0,0,0,0
2022-01-08,Providencia,Providencia,Oriente,Urbana de tráfico,10.57,28.9,27.54,55.7,36.08,98.1,22.26,53.98,1018.15,2.21,213.2,366.64,3988.5,0.0,0.0,0.25,5,1,0,0,Fin de semana,Verano,Resto del año,Q5 (alto),Bueno,Bueno,Bajo,0,0,0,0
2022-01-08,Pudahuel,Pudahuel,Poniente,Suburbana,20.65,46.8,44.94,91.5,39.49,116.1,22.18,57.83,1015.96,2.6,222.03,419.08,4131.58,0.0,0.0,0.33,5,1,0,0,Fin de semana,Verano,Resto del año,Q2 (medio-bajo),Bueno,Bueno,Bajo,0,0,0,0
2022-01-08,Puente Alto,Puente Alto,Sur,Suburbana,22.42,47.2,46.74,92.2,35.44,105.3,22.17,53.49,1016.7,2.18,216.23,425.62,4104.5,0.0,0.0,0.58,5,1,0,0,Fin de semana,Verano,Resto del año,Q3 (medio),Bueno,Bueno,Bajo,0,0,0,0
2022-01-08,Quilicura,Quilicura,Norte,Urbana de tráfico,17.67,46.7,41.05,83.8,40.17,101.1,22.08,58.59,1016.5,2.47,224.1,434.35,4090.67,4.7,4.7,0.25,5,1,0,0,Fin de semana,Verano,Resto del año,Q4 (medio-alto),Bueno,Bueno,Bajo,0,0,0,0
